Generator,P_max,P_min,T_up (hrs),T_down (hrs),FuelType,Ramp Up (MW/hr),Ramp Down (MW/hr),T_startup (h),T_shutdown (h),E_startup (MWh),E_shutdown (MWh),Cost_startup ($),Cost_shutdown ($),Cost_variable ($/MWh),commission_year
ABKENORA,16.0,1.0,2.0,1.0,HYDRO,2.0,2.0,4.25,4.25,18.0625,18.0625,0.0,0.0,0.0,2010
ADELAIDE,60.0,1.0,1.0,1.0,WIND,21.0,21.0,1.4523809523809523,1.4523809523809523,22.148809523809522,22.148809523809522,0.0,0.0,0.0,2014
AGUASABON,53.0,1.0,2.0,1.0,HYDRO,22.0,22.0,1.2272727272727273,1.2272727272727273,16.56818181818182,16.56818181818182,0.0,0.0,0.0,2010
ALEXANDER,68.0,1.0,1.0,1.0,HYDRO,2.0,2.0,17.25,17.25,297.5625,297.5625,0.0,0.0,0.0,2010
AMARANTH,200.0,1.0,1.0,1.0,WIND,33.0,33.0,3.0454545454545454,3.0454545454545454,153.0340909090909,153.0340909090909,0.0,0.0,0.0,2010
AMHERST ISLAND,74.0,1.0,1.0,1.0,WIND,24.0,23.0,1.5625,1.6304347826086956,29.296875,30.570652173913043,0.0,0.0,0.0,2018
APIROQUOIS,139.0,1.0,1.0,1.0,HYDRO,26.0,26.0,2.6923076923076925,2.6923076923076925,94.23076923076924,94.23076923076924,0.0,0.0,0.0,2010
ARMOW,180.0,1.0,1.0,1.0,WIND,57.0,55.0,1.587719298245614,1.6454545454545455,71.84429824561404,74.45681818181818,0.0,0.0,0.0,2016
ARNPRIOR,82.0,1.0,2.0,1.0,HYDRO,37.0,37.0,1.1216216216216217,1.1216216216216217,23.27364864864865,23.27364864864865,0.0,0.0,0.0,2010
ATIKOKAN-G1,215.0,1.0,1.0,1.0,BIOFUEL,49.0,58.0,2.204081632653061,1.8620689655172413,119.0204081632653,100.55172413793103,619.8582857142857,523.6733793103448,5.208,2015
AUBREYFALLS,164.0,1.0,1.0,1.0,HYDRO,65.0,65.0,1.2692307692307692,1.2692307692307692,52.355769230769226,52.355769230769226,0.0,0.0,0.0,2010
BARRETT,179.0,1.0,2.0,1.0,HYDRO,58.0,60.0,1.5517241379310345,1.5,69.82758620689656,67.5,0.0,0.0,0.0,2010
BECK1,1123.0,1.0,1.0,1.0,HYDRO,153.0,153.0,3.673202614379085,3.673202614379085,1032.1699346405228,1032.1699346405228,0.0,0.0,0.0,2010
BECK2,1672.0,406.0,2.0,1.0,HYDRO,216.0,207.0,4.810185185185185,5.019323671497585,2498.8912037037035,2607.5386473429953,0.0,0.0,0.0,2010
BECK2 PGS,175.0,1.0,1.0,1.0,HYDRO,28.0,28.0,3.142857142857143,3.142857142857143,138.28571428571428,138.28571428571428,0.0,0.0,0.0,2010
BELLE RIVER,100.0,1.0,1.0,1.0,WIND,31.0,30.0,1.6290322580645162,1.6833333333333333,41.13306451612903,42.50416666666667,0.0,0.0,0.0,2017
BLAKE,60.0,1.0,1.0,1.0,WIND,22.0,22.0,1.3863636363636365,1.3863636363636365,21.142045454545457,21.142045454545457,0.0,0.0,0.0,2014
BORNISH,74.0,1.0,1.0,1.0,WIND,25.0,24.0,1.5,1.5625,28.125,29.296875,0.0,0.0,0.0,2014
BOW LAKE,20.0,1.0,1.0,1.0,WIND,6.0,6.0,1.75,1.75,9.1875,9.1875,0.0,0.0,0.0,2015
BOW LAKE 2,40.0,1.0,1.0,1.0,WIND,11.0,11.0,1.8636363636363635,1.8636363636363635,19.102272727272727,19.102272727272727,0.0,0.0,0.0,2015
BRIGHTON BEACH,612.0,1.0,7.0,1.0,GAS,180.0,233.0,1.7027777777777777,1.315450643776824,260.9506944444444,201.5928111587983,1653.4879802777778,1277.3726886266095,6.3364,2010
BRUCEA-G1,831.0,1.0,1.0,1.5,NUCLEAR,13.0,7.0,32.0,59.42857142857143,6656.0,12361.142857142857,18982.912,100518.2095625,2.852,2015
BRUCEA-G2,831.0,1.0,1.0,1.0,NUCLEAR,17.0,6.0,24.470588235294116,69.33333333333333,5089.882352941177,14421.333333333332,14516.344470588236,100518.2095625,2.852,2015
BRUCEA-G3,831.0,1.0,1.0,1.0,NUCLEAR,49.349999999998545,24.349999999998545,8.429584599797614,17.084188911705333,1753.3535967579037,3553.511293634709,5000.564457953541,100518.2095625,2.852,2015
