hour,mean_charge_mw,mean_discharge_mw,mean_peak_support_mw,guideline_type,rank
2,748.6130684191412,0.0,0.0,charge_priority_hour,1
3,726.5587117308647,0.0,0.0,charge_priority_hour,2
1,643.1573580646971,0.0,0.0,charge_priority_hour,3
4,597.4622084186042,0.0,0.0,charge_priority_hour,4
18,0.0,750.005167671756,148.87767335190483,discharge_priority_hour,1
17,0.0,719.3866569561272,136.33050337835266,discharge_priority_hour,2
19,0.0,557.0677561811281,95.63639435627117,discharge_priority_hour,3
16,0.0,469.2137242133697,106.10440677954212,discharge_priority_hour,4
18,0.0,750.005167671756,148.87767335190483,peak_support_hour,1
17,0.0,719.3866569561272,136.33050337835266,peak_support_hour,2
16,0.0,469.2137242133697,106.10440677954212,peak_support_hour,3
19,0.0,557.0677561811281,95.63639435627117,peak_support_hour,4
