fuel,split,method,segment_type,segment_value,observations,mae_mw,rmse_mw,nmae_vs_available_capacity,nrmse_vs_available_capacity
Wind,train,seasonal_naive,overall,all,39312,937.7547822547823,1255.6864862051261,0.2075105782643805,0.2778639296775124
Wind,train,ieso_raw,overall,all,39312,192.01625457875457,427.52937528642894,0.042490216821919766,0.09460561499604528
Wind,train,linear_residual,overall,all,39312,102.04660686930403,159.37022159895065,0.022581330217747542,0.0352661564280197
Wind,train,gradient_boosted,overall,all,39312,73.57979503884634,119.50053050826409,0.016282066597808315,0.026443612613785382
Wind,train,best_ml,overall,all,39312,73.57979503884634,119.50053050826409,0.016282066597808315,0.026443612613785382
Wind,validation,seasonal_naive,overall,all,8784,1064.1302367941712,1388.0604420398702,0.2185551225572473,0.28508514234199833
Wind,validation,ieso_raw,overall,all,8784,60.46926229508197,128.7988567177647,0.012419407488751063,0.026453199939124768
Wind,validation,linear_residual,overall,all,8784,71.86732147289663,103.32099865883801,0.014760384311312569,0.021220460375835845
Wind,validation,gradient_boosted,overall,all,8784,46.18767103196439,86.2788405563723,0.009486199859742667,0.017720277011114092
Wind,validation,best_ml,overall,all,8784,46.18767103196439,86.2788405563723,0.009486199859742667,0.017720277011114092
Wind,test,seasonal_naive,overall,all,8759,1031.0172394108918,1373.0263701673832,0.21399283090320478,0.284978551886051
Wind,test,ieso_raw,overall,all,8759,61.25824865852266,162.74585869448637,0.012714458639023245,0.03377872424296746
Wind,test,linear_residual,overall,all,8759,72.2624244571701,106.12788117465564,0.014998430856844361,0.02202737729516531
Wind,test,gradient_boosted,overall,all,8759,48.258146178222894,91.67894788241273,0.010016221766300657,0.01902842827613113
Wind,test,best_ml,overall,all,8759,48.258146178222894,91.67894788241273,0.010016221766300657,0.01902842827613113
Solar,train,seasonal_naive,overall,all,39312,29.580560643060643,60.9562432300916,0.07271097588579047,0.1498344803221748
Solar,train,ieso_raw,overall,all,39312,5.629756817256817,13.594368424805651,0.01383831486907446,0.03341585734787213
Solar,train,linear_residual,overall,all,39312,4.631656802459059,10.599435231087693,0.01138491897224612,0.026054113334441274
Solar,train,gradient_boosted,overall,all,39312,4.032743198686578,9.333268450152445,0.009912749694352848,0.022941791584124172
Solar,train,best_ml,overall,all,39312,4.032743198686578,9.333268450152445,0.009912749694352848,0.022941791584124172
Solar,validation,seasonal_naive,overall,all,8784,30.28677140255009,63.58197615092528,0.0697291994348045,0.14638471154814334
Solar,validation,ieso_raw,overall,all,8784,4.103028233151184,9.225734923658,0.009446397245628606,0.02124039904663541
Solar,validation,linear_residual,overall,all,8784,3.609799817696938,7.00515866471325,0.008310838024376455,0.016127968845273195
Solar,validation,gradient_boosted,overall,all,8784,3.2403118389009182,6.710734711931224,0.007460166270038811,0.015450116912855175
Solar,validation,best_ml,overall,all,8784,3.2403118389009182,6.710734711931224,0.007460166270038811,0.015450116912855175
Solar,test,seasonal_naive,overall,all,8759,29.413175019979448,62.20714377109027,0.06832726433684388,0.1445081652422815
Solar,test,ieso_raw,overall,all,8759,4.51889485101039,10.929498300351463,0.010497463221350844,0.025389395022126456
Solar,test,linear_residual,overall,all,8759,3.8392803493506547,8.407046898429693,0.008918708133859797,0.019529701072089515
Solar,test,gradient_boosted,overall,all,8759,3.599030527355589,8.251870553616982,0.00836060405012229,0.019169224002761186
Solar,test,best_ml,overall,all,8759,3.599030527355589,8.251870553616982,0.00836060405012229,0.019169224002761186
