generator,fuel_type,on_hours,on_rate,avg_dispatch_mw,avg_dispatch_when_on_mw,max_dispatch_mw,startup_count,shutdown_count,high_gas_hour_dispatch_mwh,high_gas_hour_on_rate,recommended_role
ATIKOKAN-G1,BIOFUEL,4746,0.7389070527790752,33.181935254530146,57.38491387718016,182.0,8,7,77166.96705336658,0.10042036431574031,Dispatchable support
TBAYBOWATER CTS,BIOFUEL,4125,0.6422232601588043,16.11285322940574,25.089177283023776,50.0,25,24,29167.875441055923,0.09995329285380664,Dispatchable support
CALSTOCKGS,BIOFUEL,4079,0.6350614977424879,9.068773927357617,20.915165147367315,38.0,44,44,20254.0,0.09901914992993928,Dispatchable support
HYDROGEN READY POWER PLANT (HRPP),GAS,2020,0.697754749568221,138.8711571675302,204.9092762487258,206.0,4,3,45848.0,0.07910189982728842,Mid-merit thermal
GREENFIELD ENERGY CENTRE-G2,GAS,15,0.002335357309668379,0.39836448751882353,170.57967355556022,175.0,1,1,2274.6951033334035,0.0020239763350459287,Standby peaker
BRIGHTON BEACH,GAS,4735,0.7371944574186517,79.5059441868728,109.84441374753368,612.0,1,0,210811.78512147427,0.10042036431574031,Mid-merit thermal
STCLAIRCGS,GAS,4727,0.7359489335201619,49.13637948575274,103.03720712928168,618.0,2,1,178252.90660845386,0.10042036431574031,Mid-merit thermal
NAPANEE-G3,GAS,4575,0.7122839794488557,47.26014549677025,79.67241851069694,458.0,1,1,157166.45383087243,0.09855207846800561,Mid-merit thermal
PORTLANDS-G3,GAS,480,0.07473143390938813,5.193518210846564,69.49576555889058,225.0,9,10,29003.09634038565,0.029892573563755253,Standby peaker
GREENFIELD ENERGY CENTRE-G4,GAS,6423,1.0,65.11846681646581,69.1103622541573,497.0,0,0,164159.6618003849,0.10042036431574031,Mid-merit thermal
TAOHSC,GAS,14,0.002179666822357154,0.1494628678187764,68.57142857142864,70.00000000000045,1,1,890.0000000000009,0.0020239763350459287,Standby peaker
GREENFIELD ENERGY CENTRE-G3,GAS,426,0.06632414759458197,4.19273207717217,66.98984609869864,200.0,5,6,16092.55323249258,0.025221858944418495,Standby peaker
YORKCGS-G1,GAS,2812,0.4378016503191655,28.349811858993657,64.93967245731677,232.0,52,52,74746.95223551334,0.08080336291452592,Mid-merit thermal
YORKCGS-G2,GAS,2961,0.46099953292853807,28.385774980561806,61.78306767202592,232.0,22,22,73581.01706821978,0.08204888681301573,Mid-merit thermal
PORTLANDS-G1,GAS,503,0.07831231511754631,4.80413938802788,61.345899183505125,197.0,5,6,9274.657438803799,0.011209715086408221,Standby peaker
HALTONHILLS-LT.G3,GAS,3902,0.6075042814884011,34.046138577841454,60.71025765837747,299.0,2,1,93230.71528310249,0.09419274482329129,Mid-merit thermal
HALTONHILLS-LT.G1,GAS,2225,0.3464113342674763,18.122341245210464,60.62489469686813,230.0,3,3,69022.71862412783,0.08142612486377082,Standby peaker
