date,observed_storage_output_mwh,observed_storage_capability_mw
2025-04-08,0.0,250.0
2025-04-09,0.0,250.0
2025-04-10,0.0,250.0
2025-04-11,393.0,250.0
2025-04-12,1271.0,250.0
2025-04-13,0.0,250.0
2025-04-14,0.0,250.0
2025-04-15,0.0,250.0
2025-04-16,0.0,250.0
2025-04-17,0.0,250.0
2025-04-18,0.0,250.0
2025-04-19,1.0,250.0
2025-04-20,0.0,250.0
2025-04-21,0.0,250.0
2025-04-22,0.0,250.0
2025-04-23,9.0,250.0
2025-04-24,52.0,250.0
2025-04-25,84.0,250.0
2025-04-26,100.0,250.0
2025-04-27,12.0,250.0
2025-04-28,7.0,250.0
2025-04-29,18.0,250.0
2025-04-30,14.0,250.0
2025-05-01,170.0,250.0
2025-05-02,91.0,250.0
2025-05-03,117.0,250.0
2025-05-04,23.0,250.0
2025-05-05,310.0,250.0
2025-05-06,124.0,250.0
2025-05-07,655.0,250.0
2025-05-08,910.0,250.0
2025-05-09,380.0,250.0
2025-05-10,79.0,250.0
2025-05-11,35.0,250.0
2025-05-12,799.0,250.0
2025-05-13,12.0,250.0
2025-05-14,449.0,250.0
2025-05-15,302.0,250.0
2025-05-16,979.0,250.0
2025-05-17,40.0,250.0
2025-05-18,85.0,250.0
2025-05-19,194.0,250.0
2025-05-20,8.0,250.0
2025-05-21,921.0,250.0
2025-05-22,15.0,250.0
2025-05-23,144.0,250.0
2025-05-24,310.0,250.0
2025-05-25,327.0,250.0
2025-05-26,31.0,250.0
2025-05-27,219.0,250.0
2025-05-28,841.0,250.0
2025-05-29,390.0,250.0
2025-05-30,687.0,250.0
2025-05-31,139.0,250.0
2025-06-01,241.0,250.0
2025-06-02,162.0,250.0
2025-06-03,130.0,250.0
2025-06-04,424.0,250.0
2025-06-05,150.0,250.0
2025-06-06,761.0,250.0
2025-06-07,586.0,250.0
2025-06-08,716.0,250.0
2025-06-09,533.0,250.0
2025-06-10,65.0,290.0
2025-06-11,344.0,250.0
2025-06-12,1041.0,252.0
2025-06-13,396.0,342.0
2025-06-14,310.0,250.0
2025-06-15,612.0,250.0
2025-06-16,348.0,250.0
2025-06-17,777.0,250.0
2025-06-18,671.0,250.0
2025-06-19,724.0,370.0
2025-06-20,228.0,250.0
2025-06-21,865.0,250.0
2025-06-22,378.0,250.0
2025-06-23,948.0,250.0
2025-06-24,923.0,382.0
2025-06-25,1032.0,382.0
2025-06-26,769.0,382.0
2025-06-27,1026.0,382.0
2025-06-28,45.0,382.0
2025-06-29,406.0,382.0
2025-06-30,554.0,382.0
2025-07-01,1022.0,382.0
2025-07-02,506.0,382.0
2025-07-03,1060.0,437.0
2025-07-04,244.0,437.0
2025-07-05,240.0,437.0
2025-07-06,403.0,437.0
2025-07-07,628.0,382.0
2025-07-08,608.0,382.0
2025-07-09,852.0,389.0
2025-07-10,1091.0,432.0
2025-07-11,503.0,382.0
2025-07-12,519.0,382.0
2025-07-13,582.0,382.0
2025-07-14,372.0,382.0
2025-07-15,1003.0,382.0
2025-07-16,1146.0,432.0
2025-07-17,139.0,425.0
2025-07-18,257.0,431.0
2025-07-19,229.0,382.0
2025-07-20,323.0,382.0
2025-07-21,72.0,385.0
2025-07-22,496.0,382.0
2025-07-23,637.0,382.0
2025-07-24,640.0,382.0
2025-07-25,1065.0,382.0
2025-07-26,592.0,382.0
2025-07-27,737.0,382.0
2025-07-28,708.0,437.0
2025-07-29,594.0,437.0
2025-07-30,810.0,387.0
2025-07-31,224.0,437.0
2025-08-01,226.0,437.0
2025-08-02,308.0,437.0
2025-08-03,416.0,437.0
2025-08-04,927.0,437.0
2025-08-05,986.0,437.0
2025-08-06,785.0,437.0
2025-08-07,886.0,437.0
2025-08-08,1059.0,437.0
2025-08-09,983.0,437.0
2025-08-10,1072.0,437.0
2025-08-11,1015.0,437.0
2025-08-12,1004.0,437.0
2025-08-13,1040.0,437.0
2025-08-14,854.0,437.0
2025-08-15,935.0,437.0
2025-08-16,989.0,437.0
2025-08-17,208.0,437.0
2025-08-18,394.0,437.0
2025-08-19,1486.0,437.0
2025-08-20,533.0,437.0
2025-08-21,349.0,437.0
2025-08-22,761.0,437.0
2025-08-23,132.0,437.0
2025-08-24,349.0,437.0
2025-08-25,448.0,437.0
2025-08-26,547.0,437.0
2025-08-27,523.0,437.0
2025-08-28,911.0,437.0
2025-08-29,931.0,437.0
2025-08-30,494.0,437.0
2025-08-31,649.0,437.0
2025-09-01,634.0,437.0
2025-09-02,893.0,437.0
2025-09-03,380.0,437.0
2025-09-04,1288.0,437.0
2025-09-05,870.0,437.0
2025-09-06,424.0,437.0
2025-09-07,723.0,437.0
2025-09-08,878.0,437.0
2025-09-09,834.0,437.0
2025-09-10,951.0,437.0
2025-09-11,637.0,437.0
2025-09-12,1069.0,437.0
2025-09-13,869.0,437.0
2025-09-14,773.0,437.0
2025-09-15,1063.0,437.0
2025-09-16,897.0,437.0
2025-09-17,760.0,437.0
2025-09-18,864.0,437.0
2025-09-19,1027.0,437.0
2025-09-20,879.0,437.0
2025-09-21,1155.0,437.0
2025-09-22,1049.0,437.0
2025-09-23,944.0,437.0
2025-09-24,857.0,437.0
2025-09-25,798.0,437.0
2025-09-26,860.0,437.0
2025-09-27,623.0,437.0
2025-09-28,274.0,437.0
2025-09-29,519.0,437.0
2025-09-30,380.0,437.0
2025-10-01,286.0,437.0
2025-10-02,395.0,437.0
2025-10-03,1060.0,437.0
2025-10-04,1213.0,437.0
2025-10-05,1519.0,437.0
2025-10-06,928.0,437.0
2025-10-07,712.0,437.0
2025-10-08,104.0,438.0
2025-10-09,322.0,501.0
2025-10-10,646.0,517.0
2025-10-11,336.0,437.0
2025-10-12,79.0,437.0
2025-10-13,911.0,437.0
2025-10-14,437.0,437.0
2025-10-15,560.0,437.0
2025-10-16,735.0,507.0
2025-10-17,1316.0,517.0
2025-10-18,381.0,437.0
2025-10-19,344.0,437.0
2025-10-20,593.0,503.0
2025-10-21,1030.0,517.0
2025-10-22,657.0,517.0
2025-10-23,1162.0,524.0
2025-10-24,1476.0,524.0
2025-10-25,542.0,524.0
2025-10-26,825.0,524.0
2025-10-27,644.0,524.0
2025-10-28,861.0,524.0
2025-10-29,1442.0,524.0
2025-10-30,1083.0,524.0
2025-10-31,217.0,524.0
2025-11-01,1343.0,524.0
2025-11-02,743.0,524.0
2025-11-03,593.0,524.0
2025-11-04,861.0,524.0
2025-11-05,756.0,524.0
2025-11-06,1307.0,524.0
2025-11-07,623.0,524.0
2025-11-08,1218.0,524.0
2025-11-09,1079.0,524.0
2025-11-10,1027.0,524.0
2025-11-11,923.0,524.0
2025-11-12,542.0,524.0
2025-11-13,1204.0,469.0
2025-11-14,1049.0,469.0
2025-11-15,564.0,469.0
2025-11-16,644.0,469.0
2025-11-17,1080.0,469.0
2025-11-18,1401.0,524.0
2025-11-19,980.0,524.0
2025-11-20,1446.0,524.0
2025-11-21,1183.0,524.0
2025-11-22,816.0,524.0
2025-11-23,398.0,524.0
2025-11-24,1184.0,524.0
2025-11-25,1046.0,524.0
2025-11-26,311.0,524.0
2025-11-27,70.0,524.0
2025-11-28,1014.0,524.0
2025-11-29,1006.0,524.0
2025-11-30,681.0,524.0
2025-12-01,1031.0,524.0
2025-12-02,1038.0,524.0
2025-12-03,1202.0,524.0
2025-12-04,1670.0,524.0
2025-12-05,933.0,524.0
2025-12-06,1569.0,524.0
2025-12-07,1186.0,524.0
2025-12-08,1200.0,524.0
2025-12-09,1578.0,524.0
2025-12-10,1138.0,524.0
2025-12-11,662.0,524.0
2025-12-12,408.0,524.0
2025-12-13,482.0,524.0
2025-12-14,1324.0,524.0
2025-12-15,627.0,524.0
2025-12-16,611.0,524.0
2025-12-17,819.0,437.0
2025-12-18,593.0,437.0
2025-12-19,231.0,437.0
2025-12-20,944.0,437.0
2025-12-21,626.0,437.0
2025-12-22,123.0,437.0
2025-12-23,413.0,524.0
2025-12-24,197.0,524.0
